"filename", "language", "Rust", "Markdown", "Properties", "GAS/AT&T x86/x64", "comment", "blank", "total"
"/home/benni/development/os_dev/NextLevelRTOS/README.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"/home/benni/development/os_dev/NextLevelRTOS/cpu/src/core.rs", "Rust", 25, 0, 0, 0, 6, 3, 34
"/home/benni/development/os_dev/NextLevelRTOS/cpu/src/lib.rs", "Rust", 2, 0, 0, 0, 0, 0, 2
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/bus/mod.rs", "Rust", 1, 0, 0, 0, 0, 0, 1
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/bus/rcc.rs", "Rust", 25, 0, 0, 0, 21, 7, 53
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/controller/dma.rs", "Rust", 103, 0, 0, 0, 5, 23, 131
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/controller/mod.rs", "Rust", 2, 0, 0, 0, 0, 0, 2
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/controller/uart.rs", "Rust", 45, 0, 0, 0, 0, 7, 52
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/generic/cpu.rs", "Rust", 26, 0, 0, 0, 1, 3, 30
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/generic/mod.rs", "Rust", 3, 0, 0, 0, 0, 0, 3
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/generic/platform.rs", "Rust", 74, 0, 0, 0, 1, 7, 82
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/generic/traits.rs", "Rust", 50, 0, 0, 0, 41, 6, 97
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/io/gpio.rs", "Rust", 140, 0, 0, 0, 42, 18, 200
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/io/mod.rs", "Rust", 1, 0, 0, 0, 0, 0, 1
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/lib.rs", "Rust", 8, 0, 0, 0, 0, 1, 9
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/registerblocks/dma.rs", "Rust", 29, 0, 0, 0, 10, 4, 43
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/registerblocks/gpio.rs", "Rust", 19, 0, 0, 0, 16, 2, 37
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/registerblocks/mod.rs", "Rust", 5, 0, 0, 0, 0, 0, 5
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/registerblocks/rcc.rs", "Rust", 21, 0, 0, 0, 16, 4, 41
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/registerblocks/sys.rs", "Rust", 12, 0, 0, 0, 10, 4, 26
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/registerblocks/usart.rs", "Rust", 19, 0, 0, 0, 10, 1, 30
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/sys/mod.rs", "Rust", 1, 0, 0, 0, 0, 0, 1
"/home/benni/development/os_dev/NextLevelRTOS/devices/src/sys/tick.rs", "Rust", 22, 0, 0, 0, 2, 7, 31
"/home/benni/development/os_dev/NextLevelRTOS/documentation/part1_boot_procedure.md", "Markdown", 0, 285, 0, 0, 0, 132, 417
"/home/benni/development/os_dev/NextLevelRTOS/documentation/part2_device_access_en.md", "Markdown", 0, 12, 0, 0, 0, 5, 17
"/home/benni/development/os_dev/NextLevelRTOS/documentation/part2_device_access_ru.md", "Markdown", 0, 14, 0, 0, 0, 8, 22
"/home/benni/development/os_dev/NextLevelRTOS/kernel/openocd.cfg", "Properties", 0, 0, 2, 0, 3, 2, 7
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/asm/context_mng.s", "GAS/AT&T x86/x64", 0, 0, 0, 21, 0, 4, 25
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/data/list.rs", "Rust", 56, 0, 0, 0, 1, 6, 63
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/data/mod.rs", "Rust", 1, 0, 0, 0, 0, 1, 2
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/main.rs", "Rust", 50, 0, 0, 0, 14, 12, 76
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/mem/malloc.rs", "Rust", 13, 0, 0, 0, 2, 4, 19
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/mem/mod.rs", "Rust", 1, 0, 0, 0, 0, 1, 2
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/proc/mod.rs", "Rust", 3, 0, 0, 0, 0, 1, 4
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/proc/sched.rs", "Rust", 49, 0, 0, 0, 7, 9, 65
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/proc/task.rs", "Rust", 6, 0, 0, 0, 21, 5, 32
"/home/benni/development/os_dev/NextLevelRTOS/kernel/src/proc/tcb.rs", "Rust", 25, 0, 0, 0, 19, 6, 50
"/home/benni/development/os_dev/NextLevelRTOS/process/src/blueprint.rs", "Rust", 37, 0, 0, 0, 8, 8, 53
"/home/benni/development/os_dev/NextLevelRTOS/process/src/lib.rs", "Rust", 15, 0, 0, 0, 0, 2, 17
"/home/benni/development/os_dev/NextLevelRTOS/runtime/build.rs", "Rust", 10, 0, 0, 0, 4, 4, 18
"/home/benni/development/os_dev/NextLevelRTOS/runtime/src/lib.rs", "Rust", 66, 0, 0, 0, 18, 19, 103
"Total", "-", 965, 311, 2, 21, 278, 327, 1904
